transaction_id,user_id_from,user_id_to,date,value
36,532,4069,2012-12-19 13:11:53,10.0
36,532,5032,2012-12-19 13:11:53,0.1
37,329169,203400,2012-12-16 03:35:07,1.0
37,329169,4297,2012-12-16 03:35:07,0.2
37,329169,11,2012-12-16 03:35:07,0.1
37,329169,9,2012-12-16 03:35:07,2.0
37,329169,73394,2012-12-16 03:35:07,0.1
37,329169,1153815,2012-12-16 03:35:07,0.3
37,329169,6689,2012-12-16 03:35:07,0.1
37,329169,3827521,2012-12-16 03:35:07,3.69008091
37,329169,25245,2012-12-16 03:35:07,0.1
37,329169,20695,2012-12-16 03:35:07,5.0
37,329169,9256,2012-12-16 03:35:07,0.1
37,329169,327946,2012-12-16 03:35:07,1.0
37,329169,863170,2012-12-16 03:35:07,0.1
38,198036,11,2013-02-20 16:09:07,0.2
38,198036,11,2013-02-20 16:09:07,1.0
38,198036,46734,2013-02-20 16:09:07,1.0
38,198036,11,2013-02-20 16:09:07,0.1
38,198036,3627,2013-02-20 16:09:07,0.1
38,198036,856611,2013-02-20 16:09:07,0.5
38,198036,5031,2013-02-20 16:09:07,0.5
38,198036,897665,2013-02-20 16:09:07,1.0
38,198036,20,2013-02-20 16:09:07,1.0
38,198036,9,2013-02-20 16:09:07,2.0
38,198036,13507,2013-02-20 16:09:07,1.0
38,198036,11,2013-02-20 16:09:07,0.5
38,198036,3888,2013-02-20 16:09:07,0.1
38,198036,11,2013-02-20 16:09:07,0.6
38,198036,71408,2013-02-20 16:09:07,0.1
38,198036,4069,2013-02-20 16:09:07,7.0
38,198036,2381582,2013-02-20 16:09:07,22.4190548
38,198036,29,2013-02-20 16:09:07,0.1
38,198036,75,2013-02-20 16:09:07,0.1
38,198036,7071,2013-02-20 16:09:07,0.1
38,198036,2660,2013-02-20 16:09:07,10.0
38,198036,5315,2013-02-20 16:09:07,0.1
38,198036,11,2013-02-20 16:09:07,0.5
39,3391891,5882,2013-01-10 22:39:15,0.2
39,3391891,11,2013-01-10 22:39:15,1.0
39,3391891,3627,2013-01-10 22:39:15,0.1
39,3391891,798742,2013-01-10 22:39:15,1.0
39,3391891,20,2013-01-10 22:39:15,1.0
39,3391891,4080,2013-01-10 22:39:15,3.0
39,3391891,60188,2013-01-10 22:39:15,1.0
39,3391891,3389881,2013-01-10 22:39:15,0.6057067
39,3391891,4811,2013-01-10 22:39:15,0.1
39,3391891,9,2013-01-10 22:39:15,2.0
39,3391891,16617,2013-01-10 22:39:15,0.1
39,3391891,1176025,2013-01-10 22:39:15,0.1
39,3391891,3740,2013-01-10 22:39:15,0.7
39,3391891,878019,2013-01-10 22:39:15,0.5
39,3391891,31056,2013-01-10 22:39:15,0.1
39,3391891,850106,2013-01-10 22:39:15,0.2
39,3391891,5897,2013-01-10 22:39:15,0.2
39,3391891,2402,2013-01-10 22:39:15,0.1
39,3391891,7849,2013-01-10 22:39:15,0.1
39,3391891,805896,2013-01-10 22:39:15,0.1
39,3391891,39381,2013-01-10 22:39:15,0.1
40,2827544,15465,2013-02-03 16:05:19,1.0
40,2827544,798742,2013-02-03 16:05:19,1.0
40,2827544,5031,2013-02-03 16:05:19,0.5
40,2827544,145604,2013-02-03 16:05:19,5.0
40,2827544,9,2013-02-03 16:05:19,2.0
40,2827544,41027,2013-02-03 16:05:19,1.0
40,2827544,5314,2013-02-03 16:05:19,0.1
40,2827544,3888,2013-02-03 16:05:19,0.1
40,2827544,1153815,2013-02-03 16:05:19,0.3
40,2827544,11,2013-02-03 16:05:19,2.0
40,2827544,2659,2013-02-03 16:05:19,0.1
40,2827544,845062,2013-02-03 16:05:19,0.1
40,2827544,189599,2013-02-03 16:05:19,0.1
40,2827544,11,2013-02-03 16:05:19,0.1
40,2827544,64721,2013-02-03 16:05:19,0.1
40,2827544,986757,2013-02-03 16:05:19,0.3
40,2827544,27,2013-02-03 16:05:19,0.1
40,2827544,2827087,2013-02-03 16:05:19,1.03720245
40,2827544,7071,2013-02-03 16:05:19,0.1
40,2827544,5315,2013-02-03 16:05:19,0.1
40,2827544,13870,2013-02-03 16:05:19,0.1
40,2827544,7,2013-02-03 16:05:19,0.1
40,2827544,225453,2013-02-03 16:05:19,0.3
40,2827544,13739,2013-02-03 16:05:19,0.1
41,532,98295,2013-02-06 13:05:12,1.0
41,532,452,2013-02-06 13:05:12,0.1
41,532,17507,2013-02-06 13:05:12,2.0
41,532,11,2013-02-06 13:05:12,0.1
41,532,28361,2013-02-06 13:05:12,0.1
41,532,5031,2013-02-06 13:05:12,10.0
41,532,6789,2013-02-06 13:05:12,0.2
41,532,20,2013-02-06 13:05:12,1.0
41,532,27,2013-02-06 13:05:12,0.1
41,532,9,2013-02-06 13:05:12,2.0
41,532,11,2013-02-06 13:05:12,0.5
41,532,11,2013-02-06 13:05:12,0.1
41,532,851494,2013-02-06 13:05:12,0.1
41,532,1932,2013-02-06 13:05:12,0.1
41,532,952274,2013-02-06 13:05:12,0.1
41,532,2746972,2013-02-06 13:05:12,7.4325
41,532,91011,2013-02-06 13:05:12,0.1
42,532,2451497,2013-02-17 17:20:42,19.514034
42,532,452,2013-02-17 17:20:42,0.1
42,532,15869,2013-02-17 17:20:42,1.0
42,532,3627,2013-02-17 17:20:42,0.1
